설정,단위수,A,B,C,auc_C,d_main,d_latent,d_total,ratio,S,R기준,Q2,Q2b,S기준
순환 이중 잠재 (비제약 읽기층),45.00000,0.13608,0.14431,0.14965,0.79494,0.00963,0.00573,0.01535,0.59474,-0.00038,충족,충족,미충족,충족
순환 이중 잠재 — 병동 통제,45.00000,0.14182,0.14858,0.15276,0.79718,0.00781,0.00504,0.01286,0.64552,-0.00087,충족,충족,미충족,충족
"순환 이중 잠재 (귀무2, 정합비교)",45.00000,0.13608,0.14431,0.14965,0.79494,0.00961,0.00565,0.01526,0.58837,-0.00031,충족,충족,미충족,충족
분해 정합 변종 CDLD-A 1차(붕괴),35.00000,0.13608,0.14029,0.14187,0.78665,0.00451,0.00100,0.00550,0.22143,0.00058,미충족,미충족,미충족,미충족
분해 정합 변종 CDLD-A,35.00000,0.13608,0.14029,0.15031,0.79474,0.00451,0.01056,0.01506,2.34330,-0.00054,충족,충족,충족,충족
분해 정합 변종 — 병동 통제,35.00000,0.14182,0.14559,0.15257,0.79707,0.00381,0.00776,0.01157,2.03776,-0.00078,충족,충족,충족,충족
저랭크 이중선형,,0.12861,0.13526,0.14577,,0.00751,0.01134,0.01885,1.50890,-0.00082,충족,충족,충족,충족
저랭크 이중선형 — 병동 통제,,0.13808,0.14257,0.14859,,0.00522,0.00770,0.01293,1.47520,-0.00169,충족,충족,충족,충족
