sens,arm,A,B,C
none,real,0.12861318578597591,0.13525802986633917,0.14577446189907495
none,shuffle0,0.12861318578597591,0.12770922431138954,0.12671870088921333
none,shuffle1,0.12861318578597591,0.1277770008065151,0.1271225871873557
