tag,arm,fold,kind,n_te,sse,sstot,auc,secs,bss,설정,model,shared_from
base,shuffle2,0,C,869183,63229.59375,73083.59375,0.7776536695533404,342.4,0.13483190267993628,순환 이중 잠재 (비제약 읽기층),,
wardX,shuffle1,3,B,898456,64862.82421875,75049.609375,0.7828405522411782,311.7,0.13573401968489596,순환 이중 잠재 — 병동 통제,,
wardX,shuffle2,3,C,898456,64948.625,75049.609375,0.7811871807177182,325.9,0.1345907654832481,순환 이중 잠재 — 병동 통제,,
wardX,shuffle1,1,B,870947,63156.171875,73727.5390625,0.7883138933397545,341.7,0.1433842404333947,순환 이중 잠재 — 병동 통제,,
wardX,shuffle2,3,B,898456,64834.578125,75049.609375,0.7832036050095025,323.5,0.13611038531804487,순환 이중 잠재 — 병동 통제,,
wardX,shuffle1,0,C,869183,62879.15625,73083.59375,0.783905630059859,342.3,0.13962692550268851,순환 이중 잠재 — 병동 통제,,
wardX,real,0,A,869183,62699.71875,73083.59375,0.7860561608435412,355.7,0.1420821619079179,순환 이중 잠재 — 병동 통제,,
wardX,shuffle1,0,B,869183,62794.73828125,73083.59375,0.7848788004169159,336.5,0.1407820133195078,순환 이중 잠재 — 병동 통제,,
wardX,shuffle1,4,C,856770,62326.96484375,72333.28125,0.7841745336846272,375.2,0.13833627112346714,순환 이중 잠재 — 병동 통제,,
wardX,real,4,A,856770,62292.578125,72333.28125,0.7836774987567422,383.6,0.13881166389088706,순환 이중 잠재 — 병동 통제,,
wardX,real,4,B,856770,61787.21875,72333.28125,0.7946468002520517,361.5,0.14579820405976673,순환 이중 잠재 — 병동 통제,,
wardX,real,1,C,870947,62161.3828125,73727.5390625,0.7999607623769998,411.1,0.1568770149807277,순환 이중 잠재 — 병동 통제,,
wardX,shuffle0,1,B,870947,63161.375,73727.5390625,0.7877470527821973,339.7,0.1433136680927719,순환 이중 잠재 — 병동 통제,,
wardX,shuffle2,1,B,870947,63172.734375,73727.5390625,0.7878012675340055,337.1,0.14315959574552628,순환 이중 잠재 — 병동 통제,,
wardX,shuffle1,2,C,867192,62665.62890625,73266.7734375,0.7876911926810463,344.1,0.1446923896586394,순환 이중 잠재 — 병동 통제,,
wardX,shuffle0,4,C,856770,62367.98828125,72333.28125,0.7823779642516276,370.1,0.13776912641786176,순환 이중 잠재 — 병동 통제,,
wardX,shuffle0,1,C,870947,63230.6328125,73727.5390625,0.7863512401589853,348.5,0.14237429301826565,순환 이중 잠재 — 병동 통제,,
wardX,real,0,B,869183,62310.640625,73083.59375,0.7932193185043861,385.1,0.14740590291511224,순환 이중 잠재 — 병동 통제,,
wardX,shuffle2,4,B,856770,62339.31640625,72333.28125,0.7828805853127265,335.4,0.13816551207194128,순환 이중 잠재 — 병동 통제,,
wardX,real,2,B,867192,62059.03515625,73266.7734375,0.7970000606295885,354.0,0.15297163714750894,순환 이중 잠재 — 병동 통제,,
wardX,shuffle2,2,B,867192,62592.48828125,73266.7734375,0.788630982938122,340.2,0.145690667889936,순환 이중 잠재 — 병동 통제,,
wardX,shuffle0,2,C,867192,62614.7578125,73266.7734375,0.7878526692844361,369.8,0.1453867165869761,순환 이중 잠재 — 병동 통제,,
wardX,real,3,B,898456,64298.59375,75049.609375,0.7924432285194799,359.2,0.1432521196916623,순환 이중 잠재 — 병동 통제,,
wardX,real,3,C,898456,64022.953125,75049.609375,0.7938687354418098,392.9,0.14692489863475722,순환 이중 잠재 — 병동 통제,,
wardX,shuffle1,2,B,867192,62628.9765625,73266.7734375,0.7882325765080128,327.5,0.14519264839845225,순환 이중 잠재 — 병동 통제,,
wardX,shuffle1,3,C,898456,64964.7421875,75049.609375,0.7815148144322784,336.8,0.13437601170059388,순환 이중 잠재 — 병동 통제,,
wardX,shuffle0,3,C,898456,64997.8125,75049.609375,0.7807324919463619,355.6,0.1339353656695832,순환 이중 잠재 — 병동 통제,,
wardX,shuffle0,0,B,869183,62767.80859375,73083.59375,0.7847918694554584,337.0,0.14115049119693845,순환 이중 잠재 — 병동 통제,,
wardX,shuffle2,1,C,870947,63243.546875,73727.5390625,0.7864595758023248,370.1,0.14219913374041349,순환 이중 잠재 — 병동 통제,,
wardX,shuffle1,1,C,870947,63231.4765625,73727.5390625,0.7871781889415513,345.2,0.14236284885492134,순환 이중 잠재 — 병동 통제,,
wardX,shuffle0,3,B,898456,64848.8359375,75049.609375,0.7828753623475847,322.9,0.13592040681424267,순환 이중 잠재 — 병동 통제,,
wardX,shuffle2,2,C,867192,62626.5703125,73266.7734375,0.7879730324058526,343.0,0.14522549070727941,순환 이중 잠재 — 병동 통제,,
wardX,real,1,A,870947,63066.15625,73727.5390625,0.7893500438471359,375.5,0.14460516311906435,순환 이중 잠재 — 병동 통제,,
wardX,shuffle0,0,C,869183,62880.09765625,73083.59375,0.7829815376334959,340.1,0.13961404427720825,순환 이중 잠재 — 병동 통제,,
wardX,real,2,C,867192,61738.5390625,73266.7734375,0.7995432171113187,406.7,0.15734600875844662,순환 이중 잠재 — 병동 통제,,
wardX,shuffle2,0,C,869183,62846.5390625,73083.59375,0.7840434335626376,349.0,0.14007322522368437,순환 이중 잠재 — 병동 통제,,
wardX,real,3,A,898456,64778.3984375,75049.609375,0.7838939727071107,351.9,0.1368589526719306,순환 이중 잠재 — 병동 통제,,
wardX,shuffle1,4,B,856770,62316.1953125,72333.28125,0.7836839159787289,337.6,0.13848515875947487,순환 이중 잠재 — 병동 통제,,
wardX,real,1,B,870947,62410.98828125,73727.5390625,0.7983542377770937,391.4,0.15349150297362812,순환 이중 잠재 — 병동 통제,,
wardX,real,2,A,867192,62516.59375,73266.7734375,0.7889166587886638,374.8,0.14672653350390008,순환 이중 잠재 — 병동 통제,,
wardX,shuffle0,4,B,856770,62336.4296875,72333.28125,0.7832092434786115,336.9,0.13820542065482477,순환 이중 잠재 — 병동 통제,,
wardX,real,0,C,869183,61981.53125,73083.59375,0.7955299809654144,404.4,0.1519090938244947,순환 이중 잠재 — 병동 통제,,
wardX,shuffle2,4,C,856770,62352.6640625,72333.28125,0.7838386380837001,370.6,0.13798098212916343,순환 이중 잠재 — 병동 통제,,
wardX,real,4,C,856770,61429.94140625,72333.28125,0.796985969674129,400.7,0.1507375257326654,순환 이중 잠재 — 병동 통제,,
wardX,shuffle2,0,B,869183,62809.4140625,73083.59375,0.7847473214923107,316.4,0.14058120516959394,순환 이중 잠재 — 병동 통제,,
wardX,shuffle0,2,B,867192,62592.390625,73266.7734375,0.7885230799814483,334.5,0.1456920007758462,순환 이중 잠재 — 병동 통제,,
