readout,latent_L2,x,n_null,d_main,d_latent,d_total,ratio,S,C_BSS,fit_gate
비제약,1e-4,0,2,0.00961,0.00565,0.01526,0.588,-0.00031,0.14965,통과
비제약,0,2,2,0.00961,0.00443,0.01403,0.461,0.00022,0.14896,통과
정합,1e-4,0,2,0.00451,0.00100,0.00550,0.221,0.00058,0.14187,실패
정합,1e-5,1,2,0.00451,0.00875,0.01326,1.943,0.00005,0.14909,통과
정합,0,2,2,0.00451,0.01056,0.01506,2.343,-0.00054,0.15031,통과
