seed,입원,상대없는층_입원,상대없는층_비율,★실제동일_입원,★실제동일_비율,그중_교환가능층,행_제공자유지
90,158422,2561,0.01617,5554,0.03506,2993,0.31649
91,158422,2561,0.01617,5534,0.03493,2973,0.31755
