귀무설계,arm,A,B,C
—,real,0.12861318578597591,0.13525802986633917,0.14577446189907495
주 귀무,shuffle0,0.12861318578597591,0.12770922431138954,0.12671870088921333
주 귀무,shuffle1,0.12861318578597591,0.1277770008065151,0.1271225871873557
주 귀무,shuffle2,0.12861318578597591,0.1277665007636979,0.12723187269410552
대안 귀무,blockswap0,0.12861318578597591,0.12869367924645236,0.13005003721797093
대안 귀무,blockswap1,0.12861318578597591,0.1287894014916332,0.13015116661295678
