분할,관측_중앙,귀무_중앙,배_중앙,관측_평균,귀무_평균,배_평균,관측_제공자,관측_짝,귀무_짝
P1,0.72996503,0.3906427,1.8686258,0.7894792,0.43204427,1.8273109,176,6093,382481
P2,0.63032436,0.30842006,2.0437205,0.69263464,0.33616814,2.0603817,183,6317,382895
