통계,관측,귀무_복제평균,귀무_복제SD,배,표준화분리,넘지못한복제,귀무_pooled
중앙값,0.7827931642532349,0.3543084770441055,0.012439063155045447,2.2093548841502604,34.446700838184135,0,0.35425639152526855
75분위,1.1172109842300415,0.49867335706949234,0.01786867673090836,2.240366300689197,34.61574891500685,0,0.4986152648925781
90분위,1.547879695892334,0.6631067901849746,0.02864047683732547,2.334284188917068,30.89239438060913,0,0.6626281142234802
95분위,2.0168344974517822,0.778231343626976,0.040793268395157754,2.591561640337243,30.3629300262646,0,0.7790158987045288
99분위,3.0759708881378174,1.060303381085396,0.09189135945030862,2.901029029058695,21.935332321886243,0,1.0581303834915161
평균,0.9015879034996033,0.39077313542366027,0.013905759085704293,2.3071900849124094,36.73404414154435,0,0.3907873034477234
