nurse,n,overall,주사 급성기,경구·국소 재량,예방·PRN 주사,경구 만성유지
A,5587,0.10220153928763201,3.38,1.09,1.0,0.92
B,4200,0.09904761904761905,0.3,1.52,1.63,2.34
