설정,귀무,A,B,C,Δmain,Δlatent,R,비,S,R기준,Q2,Q2b,S기준
ALS 주분석 (귀무 3회),3,0.12861,0.13526,0.14577,0.00751,0.01124,0.01875,1.49764,-0.00073,충족,충족,충족,충족
ALS — Hold Dose 제외,2,0.13052,0.13680,0.14740,0.00714,0.01132,0.01846,1.58585,-0.00072,충족,충족,충족,충족
ALS — Sliding Scale 포함,2,0.18042,0.18560,0.19530,0.00592,0.01085,0.01677,1.83282,-0.00115,충족,충족,충족,충족
