setting,folds,nulls,A,B,C,auc_C,main_effect,main_sd,latent,latent_sd,total,total_sd,ratio,shuffled_latent
Cyclic dual latent — main,5,3,0.13608,0.14431,0.14965,0.79494,0.00963,0.00169,0.00573,0.00063,0.01535,0.00111,0.59474,-0.00038
Cyclic dual latent — ward & ward x drug,5,3,0.14182,0.14858,0.15276,0.79718,0.00781,0.00139,0.00504,0.00047,0.01286,0.00099,0.64552,-0.00087
Cyclic dual latent — temporal split,1,2,0.13798,0.14619,0.14815,0.79086,0.00842,,0.00362,,0.01204,,0.42981,-0.00166
Cyclic dual latent — latent 64 to 16,3,1,0.13803,0.14702,0.15083,0.79459,0.00880,0.00203,0.00471,0.00029,0.01351,0.00209,0.53477,-0.00090
Cyclic dual latent — top-100 drugs,3,1,0.11042,0.11786,0.12357,0.78911,0.00892,0.00068,0.00745,0.00169,0.01637,0.00118,0.83526,-0.00174
Low-rank bilinear — main,5,2,0.12861,0.13526,0.14577,,0.00751,,0.01134,,0.01885,,1.50885,-0.00082
Low-rank bilinear — ward & ward x drug,5,2,0.13808,0.14257,0.14859,,0.00522,,0.00770,,0.01293,,1.47524,-0.00169
