setting,A,B,C,auc_C,main_effect,latent,total,ratio,shuffled_latent
Cyclic dual latent — main,0.1361,0.1443,0.1497,0.7949,0.0096,0.0057,0.0154,0.5947,-0.0004
Low-rank bilinear — main,0.1286,0.1353,0.1458,,0.0075,0.0113,0.0188,1.5089,-0.0008
